2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
406,09. 경기,동두천시,"제7회 도심재생 야간축제
(2026년 헬로 DDC 페스티벌)",01. 문화예술,보산동 관광특구,04. 독립형,09. 경기,동두천시,보산동,2026,10,,2026,10,,2,미정,01. 매년,2017,200,0,200,0,해당없음,"6,000","5,500",500,01. 계측,유인,동두천시,01. 정부/지자체,동두천시 원도심 활성화사업 지원 조례 ,동두천시청,문화예술과,주무관,김명지,031-860-2275,
407,09. 경기,과천시,2026 과천공연예술축제,01. 문화예술,과천시민광장(시민회관 옆 잔디마당 및 운동장),02. 녹지형,09. 경기,과천시,중앙동,2026,9,18,2026,9,20,3,,01. 매년,1997,"1,470",0,"1,470",0,해당없음,"120,412","120,412",모름,99. 무응답,기타,과천문화재단,02. 재단(관광/문화/예술),과천문화재단 설립 및 운영에 관한 조례,과천시청,문화체육과,주무관,정푸른숲,02-3677-2065,
408,09. 경기,가평군,2026 Colorful Garden 자라섬 꽃 페스타(봄),01. 문화예술,자라섬,03. 수변형,09. 경기,가평군,-,2026,5,23,2026,6,14,23,,01. 매년,2020,210,0,210,0,해당없음,"139,623","139,623",0,01. 계측,무인,가평군 관광과,01. 정부/지자체,,가평군,관광과,주무관,노환철,031-580-2098,
409,09. 경기,가평군,2026 Colorful Garden 자라섬 꽃 페스타(가을),01. 문화예술,자라섬,03. 수변형,09. 경기,가평군,-,2026,9,12,2026,10,5,24,,01. 매년,2020,190,0,190,0,해당없음,"125,297","125,297",0,01. 계측,무인,가평군 관광과,01. 정부/지자체,,가평군,관광과,주무관,노환철,031-580-2098,
410,09. 경기,가평군,제3회 재즈페스티벌 in 가평,01. 문화예술,"잣고을 광장, 가평읍 시내, 자라섬 서도 등",02. 녹지형,09. 경기,가평군,-,2026,10,9,2026,10,11,3,,01. 매년,2024,400,0,400,0,해당없음,"5,240","5,240",0,01. 계측,유인,가평군 문화체육과,01. 정부/지자체,,가평군,관광과,공연기획팀장,박성희,031-580-4323,
411,09. 경기,가평군,제23회 자라섬재즈페스티벌,01. 문화예술,자라섬,03. 수변형,09. 경기,가평군,-,2026,10,9,2026,10,11,3,,01. 매년,2004,"1,000",0,0,"1,000",해당없음,"15,000","15,000",0,01. 계측,유인,(사)문화현상,05. 민간 협/단체,,가평군,관광과,공연기획팀장,박성희,031-580-4323,
412,09. 경기,연천군,제33회 연천 구석기 축제,04. 전통역사,연천 전곡리 유적,03. 수변형,09. 경기,연천군,전곡읍,2026,5,2,2026,5,5,4,,01. 매년,1993,"2,599",0,"2,599",0,해당없음,"66,562","66,562",모름,99. 무응답,기타,"경기 연천군, 연천구석기축제추진위원회",01. 정부/지자체,연천 구석기 축제 운영 조례,연천군청,관광과,주무관,정세미,031-839-2379,
413,09. 경기,연천군,2026년 임진강 댑싸리정원 개장,02. 자연생태,임진강 댑싸리정원,02. 녹지형,09. 경기,연천군,중면,2026,9,1,2026,10,31,61,,01. 매년,2021,381,0,381,0,해당없음,"212,340","212,340",모름,99. 무응답,기타,연천군 산림녹지과,01. 정부/지자체,연천군 축제 운영 및 지원에 관한 조례,연천군청,산림녹지과,주무관,송승환,031-839-2357,
414,09. 경기,연천군,제5회 연천 당포성 별빛축제,02. 자연생태,동이리 당포성 일원,04. 독립형,09. 경기,연천군,미산면,2026,10,,2026,10,,2,미정,01. 매년,2022,50,0,50,0,해당없음,900,900,모름,02. 추정,주차면수,미산면 주민자치위원회,04. 지자체 위원회,연천군 주민자치센터 설치 및 운영에 관한 조례,연천군청,미산면,주무관,권우인,031-839-2736,
415,09. 경기,연천군,제11회 연천장남 통일바라기 축제,02. 자연생태,장남면 호로고루 일원,05. 기타,09. 경기,연천군,장남면,2026,9,,2026,9,,10,미정,01. 매년,2014,68,0,68,0,해당없음,"13,418","13,418",모름,99. 무응답,기타,장남면 주민자치위원회,04. 지자체 위원회,연천군 축제 운영 및 지원에 관한 조례,연천군청,장남면,주무관,김희화,031-839-2740,
416,09. 경기,연천군,제8회 연천국화축제,02. 자연생태,연천 전곡리 유적,03. 수변형,09. 경기,연천군,전곡읍,2026,10,16,2026,10,25,10,,01. 매년,2019,571,0,571,0,해당없음,"170,000","170,000",모름,99. 무응답,기타,연천군농업기술센터,01. 정부/지자체,연천군 축제 운영 및 지원에 관한 조례,연천군청,농업기술센터 농업개발과,주무관,노명우,031-839-4259,
417,09. 경기,연천군,제5회 연천율무축제(농특산물 큰장터),05. 지역특산물,연천 전곡리 유적,03. 수변형,09. 경기,연천군,전곡읍,2026,10,23,2026,10,25,3,,01. 매년,2016,290,0,290,0,해당없음,"140,000","140,000",모름,02. 추정,통신 데이터,"경기 연천군, 연천율무축제추진위원회",01. 정부/지자체,연천군 농산물 큰장터 축제 운영 조례,연천군청,농업정책과,주무관,김국화,031-839-2314,
418,10. 강원,춘천시,춘천막국수닭갈비축제,05. 지역특산물,공지천 수변 산책로 일원,03. 수변형,10. 강원,춘천시,-,2026,10,1,2026,10,5,5,,01. 매년,2008,800,0,800,0,해당없음,"300,000","300,000",모름,02. 추정,통신 데이터,춘천막국수닭갈비축제조직위원회,04. 지자체 위원회,민법,춘천시청,관광정책과,주무관,신민아,033-250-3068,
419,10. 강원,춘천시,춘천호수정원페스타,01. 문화예술,춘천시 관내,03. 수변형,10. 강원,춘천시,옥천동,2026,,,2026,,,2,미정,01. 매년,2025,80,0,80,0,해당없음,500,500,0,99. 무응답,기타,강원 춘천시,01. 정부/지자체,,춘천시,녹지정원과,주무관,강병찬,033-250-4548,
420,10. 강원,춘천시,온가족 웃음찾기 개그쇼 ,01. 문화예술,"인형극장, 남부 노인복지회관 등 ",04. 독립형,10. 강원,춘천시,-,2026,2,,2026,12,,,미정,01. 매년,2023,163,0,163,0,해당없음,"2,100","2,100",모름,99. 무응답,기타,㈜하하랜드,06. 민간 사업체,,춘천시청,문화예술과,주무관,오예준,033-250-3067,
421,10. 강원,춘천시,춘천연극페스티벌(신규),01. 문화예술,"축제극장 몸짓, 춘천인형극장 등",04. 독립형,10. 강원,춘천시,-,2026,3,,2026,8,,,미정,04. 최초,2026,100,0,100,0,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,(재)춘천인형극제,02. 재단(관광/문화/예술),,춘천시청,문화예술과,주무관,함혜신,033-250-3488,
422,10. 강원,춘천시,제 33회 봄내예술제,01. 문화예술,호반광장 외 춘천일대,02. 녹지형,10. 강원,춘천시,옥천동,2026,5,14,2026,5,30,17,,01. 매년,1995,120,0,120,0,해당없음,"3,640","3,640",모름,99. 무응답,기타,(사) 한국예술문화단체총연합회 춘천지회,05. 민간 협/단체,,춘천문화재단,축제도시팀,차장,권현아,033-259-5431,
423,10. 강원,춘천시,제38회 춘천마임축제,01. 문화예술,"축제극장몸짓, 레고랜드코리아 주차장 등",04. 독립형,10. 강원,춘천시,-,2026,5,24,2026,5,31,8,,01. 매년,1989,715,0,700,15,해당없음,"101,780","101,680",100,01. 계측,티켓판매,(사)춘천마임축제,05. 민간 협/단체,"민법 제 32조, 문화체육관광부 및 국가유산청 소관 
비영리법인의 설립 및 감독에 관한 규칙 
제1조 및 제4조",춘천시청,문화예술과,주무관,김희영,033-250-3485,
424,10. 강원,춘천시,2026 의병축제,04. 전통역사,공지천 의암공원 일대 ,02. 녹지형,10. 강원,춘천시,삼천동,2026,5,30,2026,6,7,9,,01. 매년,2019,30,0,30,0,해당없음,"1,350","1,350",모름,99. 무응답,기타,춘천의병마을,05. 민간 협/단체,,춘천문화재단,축제도시팀,과장,조미진,033-259-5432,
425,10. 강원,춘천시,춘천연극제,01. 문화예술,"봄내극장, 대원당, 농협 엔타 등 춘천 관내 일원",03. 수변형,10. 강원,춘천시,-,2026,6,11,2026,12,19,,기간 중 프로그램 지속,01. 매년,1993,300,0,300,0,해당없음,"110,270","110,270",모름,99. 무응답,기타,(사) 춘천연극제,05. 민간 협/단체,,춘천시청,문화예술과,주무관,장성흠,033-250-3447,
426,10. 강원,춘천시,춘천아트페어 아르로드 R.OAD,01. 문화예술,옥천동 일대,03. 수변형,10. 강원,춘천시,옥천동,2026,6,12,2026,6,17,6,,01. 매년,2024,20,0,20,0,해당없음,"3,000","3,000",모름,99. 무응답,기타,(사) 한국미술협회춘천지부,05. 민간 협/단체,,춘천문화재단,축제도시팀,차장,권현아,033-259-5431,
427,10. 강원,춘천시,춘천영화제,01. 문화예술,"메가박스 남춘천점, 춘천예술촌 ",03. 수변형,10. 강원,춘천시,-,2026,6,25,2026,6,28,4,,01. 매년,2022,250,0,250,0,해당없음,"3,285","3,285",모름,99. 무응답,기타,(사)춘천영화제,05. 민간 협/단체,,춘천시청,문화예술과,주무관,변병애,033-250-3167,
428,10. 강원,춘천시,2026 공연예술제,01. 문화예술,춘천시 일대,03. 수변형,10. 강원,춘천시,효자동,2026,8,11,2026,8,15,5,,01. 매년,2001,80,0,80,0,해당없음,625,625,모름,01. 계측,티켓판매,(사)텐스푼,05. 민간 협/단체,,춘천문화재단,축제도시팀,차장,권현아,033-259-5431,
429,10. 강원,춘천시,춘천 오페라 페스티벌,01. 문화예술,춘천KT&G상상마당 야외공연장,04. 독립형,10. 강원,춘천시,-,2026,8,28,2026,8,29,2,,01. 매년,2022,296,0,296,0,해당없음,"2,300","2,300",모름,99. 무응답,기타,(사)춘천오페라페스티벌 조직위원회,04. 지자체 위원회,,춘천시청,문화예술과,주무관,장성흠,033-250-3447,
430,10. 강원,춘천시,춘천인형극제,01. 문화예술,춘천인형극장(영서로 3017) 및 관내 일원,03. 수변형,10. 강원,춘천시,-,2026,9,11,2026,9,16,6,,01. 매년,1989,630,0,630,0,해당없음,"224,120","224,120",모름,99. 무응답,기타,(재)춘천인형극제,02. 재단(관광/문화/예술),,춘천시청,문화예술과,주무관,함혜신,033-250-3488,
431,10. 강원,춘천시,2026 온세대합창페스티벌,01. 문화예술,KT&G 상상마당 춘천 및 공지천 아외공연장,03. 수변형,10. 강원,춘천시,-,2026,9,12,2026,9,19,8,,01. 매년,2017,400,0,400,0,해당없음,"6,908","6,908",모름,99. 무응답,기타,춘천문화재단,02. 재단(관광/문화/예술),춘천문화재단 설립 및 운영 조례,춘천문화재단,축제도시팀,과장,조미진,033-259-5432,
432,10. 강원,춘천시,이디오피아길 세계축제 및 메스칼 페스티벌,01. 문화예술,미정,06. 미정,10. 강원,춘천시,-,2026,9,26,2026,9,28,3,,04. 최초,2026,30,0,30,0,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,(사)이디오피아벳집,05. 민간 협/단체,,춘천시청,문화예술과,주무관,김예원,033-250-3227,
433,10. 강원,춘천시,2026 제29회 춘천국제고음악제,01. 문화예술,춘천시 일대,03. 수변형,10. 강원,춘천시,효자동,2026,10,,2026,10,,7,미정,01. 매년,1997,120,0,120,0,해당없음,"1,500","1,500",모름,01. 계측,티켓판매,(사)춘천국제고음악제,05. 민간 협/단체,,춘천문화재단,축제도시팀,차장,권현아,033-259-5431,
434,10. 강원,춘천시,춘천커피축제,01. 문화예술,공지천 산책로 일대(온의동 586일대),03. 수변형,10. 강원,춘천시,-,2026,10,9,2026,10,11,3,,01. 매년,2025,150,0,150,0,해당없음,"40,000","40,000",모름,99. 무응답,기타,강원 춘천시,01. 정부/지자체,,춘천시청,문화예술과,주무관,신유일,033-250-3822,
435,10. 강원,춘천시,지역명품페스타,01. 문화예술,봄내극장 등 춘천시 일대,03. 수변형,10. 강원,춘천시,옥천동,2026,,,2026,,,,미정,01. 매년,2013,65,0,65,0,해당없음,95,95,모름,99. 무응답,기타,문화게릴라 향,06. 민간 사업체,,춘천문화재단,축제도시팀,차장,권현아,033-259-5431,
436,10. 강원,춘천시,2026 춘천 반려동물 페스티벌,01. 문화예술,서면 애니메이션박물관 일원,04. 독립형,10. 강원,춘천시,서면,2026,10,2,2026,10,4,3,,01. 매년,2021,270,0,270,0,해당없음,"10,000","10,000",모름,99. 무응답,기타,춘천시 축산과,01. 정부/지자체,,춘천시청,축산과,주무관,신유아,033-245-5787,
437,10. 강원,춘천시,2026년 제5회 강원한우데이,05. 지역특산물,시청광장 일대,02. 녹지형,10. 강원,춘천시,옥천동,2026,5,8,2026,5,10,3,,01. 매년,2022,100,0,50,50,해당없음,"1,100","1,100",모름,99. 무응답,기타,강원한우조합공동사업법인,06. 민간 사업체,,춘천시청,축산과,주무관,허재,033-250-3017,
438,10. 강원,춘천시,2026 대한민국 독서대전,01. 문화예술,공지천 유원지 등 춘천시 일원,03. 수변형,10. 강원,춘천시,석사동,2026,9,18,2026,9,20,3,,04. 최초,2026,900,300,600,0,문화체육관광부,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,춘천시립도서관,01. 정부/지자체,독서문화진흥법 제13조,춘천시 평생교육원,시립도서관,팀장,송은혜,033-245-5168,
439,10. 강원,춘천시,제6회 춘천 술 페스타,01. 문화예술,KT&G 상상마당 일원,04. 독립형,10. 강원,춘천시,삼천동,2026,9,11,2026,9,12,2,,01. 매년,2021,150,0,150,0,해당없음,"25,232","25,232",모름,01. 계측,유인,춘천시,01. 정부/지자체,-,춘천시청,푸드테크산업과,주무관,임재영,033-250-4429,
440,10. 강원,춘천시,춘천 애니토이페스티벌,01. 문화예술,"서면 애니타운 일원(애니메이션박물관, 토이로봇관)",04. 독립형,10. 강원,춘천시,서면,2026,10,2,2026,10,4,3,,01. 매년,1997,280,0,280,0,해당없음,"28,745","28,745",모름,01. 계측,무인,강원정보문화산업진흥원,03. 기타 공공,춘천시 재단법인 강원정보문화산업진흥원 설립 및 지원 조례,춘천시청,첨단산업과,주무관,임수진,033-250-3542,
441,10. 강원,춘천시,2026 춘천 썸머워터 페스티벌,01. 문화예술,삼천동 일원,03. 수변형,10. 강원,춘천시,삼천동,2026,7,4,2026,8,17,15,,01. 매년,2025,150,0,150,0,해당없음,"12,669","12,669",모름,01. 계측,티켓판매,강원 춘천시,01. 정부/지자체,,춘천시청,관광정책과,주무관,고주경,033-250-3072,
442,10. 강원,춘천시,춘천 감자페스타,05. 지역특산물,신북 샘밭장터 일원,01. 마을형,10. 강원,춘천시,신북읍,2026,6,27,2026,6,28,2,,01. 매년,2024,100,0,100,0,해당없음,"24,000","24,000",모름,02. 추정,통신 데이터,춘천시,01. 정부/지자체,,춘천시청,관광정책과,주무관,유규환,033-250-4084,
443,10. 강원,춘천시,춘천호수 드론라이트쇼,01. 문화예술,춘천 의암호 일원,03. 수변형,10. 강원,춘천시,근화동,2026,3,1,2026,10,1,3,기간 중 특정 일자,01. 매년,2023,200,0,200,0,해당없음,"100,000","100,000",모름,99. 무응답,기타,춘천시,01. 정부/지자체,,춘천시청,관광정책과,주무관,유규환,033-250-4084,
444,10. 강원,춘천시,서면 호수별빛 페스타,01. 문화예술,서면 호수별빛 페스타,03. 수변형,10. 강원,춘천시,서면,2026,9,19,2026,9,20,2,,04. 최초,2026,100,0,100,0,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,춘천시,01. 정부/지자체,,춘천시청,관광정책과,주무관,조윤주,033-250-3070,
445,10. 강원,원주시, 2026 댄싱카니발,01. 문화예술,원주댄싱공연장 일원,04. 독립형,10. 강원,원주시,명륜동,2026,9,18,2026,9,20,3,,01. 매년,2011,"1,212",0,"1,212",0,해당없음,"198,864","198,864",모름,02. 추정,통신 데이터,원주문화재단,02. 재단(관광/문화/예술),원주문화재단 설립 및 운영에 관한 조례,원주시청,관광과,주무관,김일구,033-737-5122,
446,10. 강원,원주시,원주 한지문화제,01. 문화예술,원주한지테마파크 일원,02. 녹지형,10. 강원,원주시,무실동,2026,5,1,2026,5,5,5,,01. 매년,1999,233,0,213,20,해당없음,"34,500","34,500",모름,99. 무응답,기타,한지문화재단,02. 재단(관광/문화/예술),원주시 옻ㆍ한지산업 육성 및 지원 조례,원주시청,관광과,주무관,김일구,033-737-5122,
447,10. 강원,원주시,용수골꽃양귀비축제,02. 자연생태,용수골꽃농장,01. 마을형,10. 강원,원주시,판부면,2026,5,,2026,6,,,미정,01. 매년,2008,25,0,20,5,해당없음,"56,791","56,791",모름,01. 계측,티켓판매,용수골양귀비꽃축제추진위원회,04. 지자체 위원회,원주시관광진흥조례제4조,원주시청,관광과,주무관,박선욱,033-737-5123,
